Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00
21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.916,143.88,290.18,441.408,566.016,711.172,840.532,923.78,972.708,930.732,882.992,892.408,765.688,531.256,353.012,153.692,16.236,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,28.336,184.932,306.108,409.728,589.82,582.56,728.332,802.34,767.712,848.012,836.484,614.328,509.696,507.54,302.764,112.816,21.78,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.48,146.212,279.444,437.448,643.28,780.956,813.252,927.916,835.516,848.936,792.088,725.604,758.736,843.964,366.564,174.416,25.08,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.116,108.9,209.616,330.704,450.472,603.9,901.56,951.368,1120.02,1045.792,760.408,862.532,707.344,604.956,275.44,176.308,36.124,0.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,55.748,271.7,541.2,810.612,1037.212,1313.092,1349.876,1353.572,1424.896,1375.704,1256.508,1081.212,896.676,675.4,388.652,173.228,44.836,1.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.072,108.548,316.228,510.532,682.088,692.736,525.668,533.28,605.836,463.452,626.252,469.744,427.196,280.324,190.388,76.56,15.664,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.588,287.408,489.28,784.608,834.9,883.124,1098.196,1265.132,1294.7,1203.136,1177.088,1009.14,909.92,596.2,397.892,189.2,40.964,1.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,37.048,164.208,297.616,490.292,698.324,835.692,899.976,948.596,1004.652,897.644,629.112,525.096,417.384,296.384,273.812,120.164,47.344,1.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,42.636,196.416,584.804,766.832,997.04,1178.716,1384.592,1446.632,1440.956,1467.092,1236.444,1102.376,816.288,566.412,389.752,183.216,43.076,2.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,99.836,351.604,628.628,855.8,1105.852,1301.124,1539.12,1629.1,1602.172,1535.248,1496.616,1347.104,1093.092,913.352,532.444,260.26,93.588,5.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672,59.224,193.6,330.264,506.528,734.404,812.9,819.852,931.436,1099.472,922.9,842.82,622.116,551.496,394.284,295.196,172.832,42.152,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672,62.172,220.836,393.272,681.824,933.988,1046.496,1033.076,1010.46,1157.992,1240.492,1000.692,884.444,666.248,429.528,304.172,161.656,74.58,8.184,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0
02-02,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,1.144,73.612,191.3462222,534.9471111,713.152,896.588,981.552,1243.704,1080.244,1274.812,1338.304,1454.42,1218.58,887.92,582.384,424.248,301.4,158.664,32.12,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.516,170.368,463.848,800.888,916.3,1091.42,1125.784,1287.264,1638.56,1690.172,1615.944,1390.356,1118.788,868.56,602.492,571.516,335.236,117.26,12.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.588,136.004,445.544,784.52,1001.176,998.844,1123.892,1336.808,1245.552,1217.524,1204.94,962.324,1012.88,860.86,768.02,506.616,292.864,109.428,16.588,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0
05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.688,210.76,470.668,702.416,834.504,1191.96,1444.696,1414.116,1426.524,1254.22,1107.216,884.708,726.748,803.748,673.948,460.592,302.412,138.732,18.964,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0
06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,213.048,483.428,769.604,1019.172,1281.456,1385.164,1660.912,1737.912,1633.28,1524.336,1365.936,1158.3,1070.212,859.32,467.412,277.332,146.168,23.804,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0
07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.064,102.872,267.08,503.36,682.968,817.388,1051.732,1234.948,1396.736,1361.668,1240.756,1077.34,980.188,976.58,735.68,504.548,353.276,128.788,26.532,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0
08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.788,60.192,152.548,253.924,329.604,425.876,573.628,735.768,843.304,853.16,778.272,809.908,746.284,603.768,420.816,314.336,200.42,82.896,16.148,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0
09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.656,92.488,234.784,333.432,473.924,640.904,749.892,902.528,876.172,1037.388,1015.256,959.244,829.532,755.612,614.636,562.848,299.86,112.244,24.332,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.472,76.868,239.008,391.292,588.104,664.576,807.048,901.648,1032.24,994.972,939.62,793.188,692.868,730.664,664.532,556.732,350.856,129.844,37.092,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.348,137.72,299.2,402.864,592.812,845.064,1014.816,1171.896,1183.952,1279.256,1197.196,1066.956,887.524,713.68,650.936,519.596,346.808,153.736,43.56,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,19.756,102.608,237.6,465.784,661.32,771.144,1062.688,1012.66,1116.72,1051.908,880.924,722.964,674.696,546.876,437.14,522.72,389.4,188.98,42.548,2.156,0,0,0,0,0,0,0,0,0,0,0,0,0
13-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,15.356,104.016,226.732,351.34,518.012,634.92,704.088,726.484,898.788,1063.48,1012.748,979.088,898.128,785.62,659.34,567.82,364.452,172.04,53.68,3.036,0,0,0,0,0,0,0,0,0,0,0,0,0
14-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,49.852,220.352,435.952,658.724,870.364,1052.832,1326.424,1278.464,1313.972,1391.5,1199.176,1236.796,1097.712,1136.124,1119.536,856.416,512.248,227.216,63.272,4.488,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,36.564,163.46,364.364,544.016,759.616,850.608,991.496,974.204,1165.648,1271.644,1127.06,1044.34,965.712,847.396,717.376,536.8,328.196,187.088,69.916,4.312,0,0,0,0,0,0,0,0,0,0,0,0,0
